customer_id,profile_avg_amount,profile_std_amount,profile_max_amount,profile_min_amount,profile_avg_hour,profile_std_hour,profile_avg_day_of_week,profile_foreign_rate,profile_new_merchant_rate,profile_favorite_category,profile_online_rate,profile_total_transactions,profile_avg_daily_transactions
CUST_0000,3787.511982758621,1713.7915547622165,11391.3,1661.7,14.301724137931034,3.9058925998418403,2.689655172413793,0.02586206896551724,0.034482758620689655,entertainment,0.5,116,0.3178082191780822
CUST_0001,916.5667816091956,336.846034104377,2387.31,434.91,15.35632183908046,4.5748986810340195,3.1379310344827585,0.011494252873563218,0.0,restaurant,0.4482758620689655,87,0.23835616438356164
CUST_0002,376.38923076923083,158.33283014117075,1266.93,176.9,13.241758241758241,3.7367266107016395,3.0549450549450547,0.01098901098901099,0.02197802197802198,entertainment,0.5164835164835165,91,0.2493150684931507
CUST_0003,3516.249767441861,1568.3182072878365,10172.9,1558.83,14.94186046511628,4.514954631164905,2.802325581395349,0.046511627906976744,0.06976744186046512,fuel,0.47674418604651164,86,0.2356164383561644
CUST_0004,2500.8588607594934,765.2391659106042,5866.14,1208.28,14.443037974683545,2.725693679964969,3.392405063291139,0.012658227848101266,0.0,travel,0.46835443037974683,79,0.21643835616438356
CUST_0005,1921.6940217391304,664.1741263379918,4885.83,951.66,14.043478260869565,3.3410962321503477,2.75,0.010869565217391304,0.021739130434782608,healthcare,0.5,92,0.25205479452054796
CUST_0006,818.8408235294118,550.2583671876585,2500.77,327.61,13.541176470588235,4.465617168396533,2.929411764705882,0.058823529411764705,0.058823529411764705,healthcare,0.4823529411764706,85,0.2328767123287671
CUST_0007,4274.735283018867,1912.3163204196246,15283.53,2093.14,16.10377358490566,3.995066589308604,2.9339622641509435,0.009433962264150943,0.009433962264150943,restaurant,0.49056603773584906,106,0.29041095890410956
CUST_0008,648.3787735849056,326.4014089567595,2240.74,297.0,16.5188679245283,4.590323428952467,3.4339622641509435,0.03773584905660377,0.02830188679245283,healthcare,0.5094339622641509,106,0.29041095890410956
CUST_0009,3725.9416666666666,1741.0228966237046,11997.68,1791.16,13.175438596491228,3.9110590061124864,3.0526315789473686,0.03508771929824561,0.017543859649122806,shopping,0.47368421052631576,114,0.31232876712328766
